date,clones,unique_cloners
2025-06-15,110,61
2025-06-16,116,65
2025-06-17,128,69
2025-06-18,138,73
2025-06-19,139,74
2025-06-20,135,71
2025-06-21,138,72
2025-06-22,147,75
2025-06-23,160,78
2025-06-24,169,78
2025-06-25,154,71
2025-06-26,165,75
2025-06-27,118,61
2025-06-28,118,62
2025-06-29,122,63
2025-06-30,126,62
2025-07-01,114,57
2025-07-02,123,63
2025-07-03,215,97
2025-07-04,229,104
2025-07-05,240,109
2025-07-06,246,110
2025-07-07,239,106
2025-07-08,237,105
2025-07-09,234,103
2025-07-10,249,109
2025-07-11,261,111
2025-07-12,263,109
2025-07-13,261,107
2025-07-14,274,111
2025-07-15,270,111
2025-07-16,256,105
2025-07-17,165,71
2025-07-18,164,68
2025-07-19,143,61
2025-07-20,145,63
2025-07-21,140,63
2025-07-22,154,70
2025-07-23,152,69
2025-07-24,158,70
2025-07-25,319,108
2025-07-26,323,108
2025-07-27,347,110
2025-07-28,323,97
2025-07-29,323,97
2025-07-30,337,102
2025-07-31,387,110
2025-08-01,393,111
2025-08-02,403,111
2025-08-03,389,105
2025-08-04,381,103
2025-08-05,363,100
2025-08-06,352,93
2025-08-07,332,88
2025-08-08,159,52
2025-08-09,143,48
2025-08-10,117,43
2025-08-11,116,44
2025-08-12,116,45
2025-08-13,113,42
2025-08-14,84,33
2025-08-15,74,31
2025-08-16,63,29
2025-08-17,62,29
2025-08-18,62,29
2025-08-19,62,29
2025-08-20,61,29
2025-08-21,58,26
2025-08-22,96,43
2025-08-23,103,45
2025-08-24,107,46
2025-08-25,108,47
2025-08-26,104,45
2025-08-27,117,48
2025-08-28,91,41
2025-08-29,91,41
2025-08-30,93,43
2025-08-31,89,39
2025-09-01,89,39
2025-09-02,88,38
2025-09-03,88,38
2025-09-04,74,33
2025-09-05,56,28
2025-09-06,46,26
2025-09-07,41,23
2025-09-08,40,22
2025-09-09,40,23
2025-09-10,14,14
2025-09-11,17,14
2025-09-12,19,15
2025-09-13,17,13
2025-09-14,25,15
2025-09-15,25,15
2025-09-16,24,14
2025-09-17,52,26
2025-09-18,51,26
2025-09-19,53,28
2025-09-20,55,29
