date,clones,unique_cloners
2025-09-21,63,32
2025-09-22,63,32
2025-09-23,61,30
2025-09-24,59,28
2025-09-25,54,27
2025-09-26,53,27
2025-09-27,53,27
2025-09-28,52,27
2025-09-29,52,27
2025-09-30,53,28
2025-10-01,25,16
2025-10-02,24,15
2025-10-03,22,13
2025-10-04,20,12
2025-10-05,24,16
2025-10-06,30,20
2025-10-07,31,21
2025-10-08,31,21
2025-10-09,32,22
2025-10-10,32,22
2025-10-11,32,22
2025-10-12,25,20
2025-10-13,25,20
2025-10-14,24,19
2025-10-15,28,21
2025-10-16,29,22
2025-10-17,45,31
2025-10-18,46,32
2025-10-19,31,21
2025-10-20,30,20
2025-10-21,29,19
2025-10-22,33,20
2025-10-23,31,18
2025-10-24,30,17
2025-10-25,30,17
2025-10-26,30,17
2025-10-27,31,18
2025-10-28,31,18
2025-10-29,27,16
2025-10-30,26,15
2025-10-31,14,7
2025-11-01,15,7
2025-11-02,17,8
2025-11-03,13,5
2025-11-04,14,6
2025-11-05,12,6
2025-11-06,12,6
2025-11-07,12,6
2025-11-08,13,7
2025-11-09,13,7
2025-11-10,12,6
2025-11-11,13,7
2025-11-12,14,8
2025-11-13,14,8
2025-11-14,10,7
2025-11-15,8,7
2025-11-16,14,10
2025-11-17,15,11
2025-11-18,14,10
2025-11-19,12,9
2025-11-20,13,10
2025-11-21,13,10
2025-11-22,12,9
2025-11-23,12,9
2025-11-24,12,9
2025-11-25,11,8
2025-11-26,10,7
2025-11-27,12,9
2025-11-28,12,9
2025-11-29,4,4
2025-11-30,4,4
2025-12-01,3,3
2025-12-02,8,4
2025-12-03,8,4
2025-12-04,11,4
2025-12-05,12,5
2025-12-06,12,5
2025-12-07,12,5
2025-12-08,12,5
2025-12-09,12,5
2025-12-10,13,6
2025-12-11,12,5
2025-12-12,14,7
2025-12-13,14,7
2025-12-14,14,7
2025-12-15,14,7
2025-12-16,9,6
2025-12-17,9,6
2025-12-18,9,9
2025-12-19,8,8
2025-12-20,8,8
2025-12-21,10,10
2025-12-22,10,10
2025-12-23,10,10
2025-12-24,9,9
2025-12-25,8,8
2025-12-26,6,6
2025-12-27,7,7
2025-12-28,8,8
2025-12-29,8,8
2025-12-30,8,8
2025-12-31,9,9
2026-01-01,9,9
2026-01-02,7,6
2026-01-03,7,6
2026-01-04,8,7
2026-01-05,6,5
2026-01-06,6,5
2026-01-07,8,7
2026-01-08,13,10
2026-01-09,15,12
2026-01-10,15,12
2026-01-11,14,11
2026-01-12,13,10
2026-01-13,13,10
2026-01-14,13,10
2026-01-15,13,10
2026-01-16,11,9
2026-01-17,11,9
2026-01-18,10,8
2026-01-19,10,8
2026-01-20,10,8
2026-01-21,9,7
2026-01-22,5,5
2026-01-23,4,4
2026-01-24,5,5
2026-01-25,5,5
2026-01-26,5,5
2026-01-27,5,5
2026-01-28,4,4
2026-01-29,4,4
2026-01-30,5,5
2026-01-31,5,5
2026-02-01,6,6
2026-02-02,6,6
2026-02-03,6,6
2026-02-04,5,5
2026-02-05,4,4
2026-02-06,3,3
2026-02-07,2,2
2026-02-08,2,2
2026-02-09,2,2
2026-02-10,2,2
2026-02-11,2,2
2026-02-12,3,3
2026-02-13,2,2
2026-02-14,2,2
2026-02-15,1,1
2026-02-16,1,1
2026-02-17,1,1
2026-02-18,1,1
2026-02-19,39,13
2026-02-20,51,21
2026-02-21,51,21
2026-02-22,51,21
2026-02-23,51,21
2026-02-24,51,21
2026-02-25,51,21
2026-02-26,51,21
